cell_type,incoming_raw,outgoing_raw,total_raw,incoming_norm,outgoing_norm,total_norm,lr_pair,time_key,ligand_token,receptor_token,ligand_missing_subunits,receptor_missing_subunits
Meninges,0.0009758236081809,0.0007108773251035,0.0016867009332845,1.0,0.886484299588952,1.0,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Epidermis,0.0005037077190511,0.0006721464269012,0.0011758541459524,0.5076455972588549,0.8351637597026214,0.6861950461006376,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Choroid plexus,0.0003679750482968,0.0007965460465689,0.0011645210948657,0.3660943815925559,1.0,0.6792333353451446,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Jaw and tooth,0.0005923275283781,0.0004662089829276,0.0010585365113058,0.6000643323551172,0.5622854816842248,0.6141287126229782,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Cavity,0.0004920788765837,0.0003191482497745,0.0008112271263583,0.4955182532752133,0.3674220374624071,0.4622105405470894,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Heart,0.0003534736673237,0.000422091491881,0.0007755651592048,0.3509713600372174,0.5038274142488235,0.4403039684865996,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Mesentery,0.0003121256033126,0.0004212048528714,0.0007333304561841,0.3078508003835731,0.5026525694924938,0.4143598706415599,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
GI tract,0.0005056289245187,0.0002123532942023,0.0007179822187211,0.5096491603507712,0.225912931515935,0.4049316955625684,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Cartilage primordium,0.0004023323118569,0.0002560251932823,0.0006583575051392,0.4019244613874876,0.2837805654381451,0.3683051943085907,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Blood vessel,0.0003088221137578,0.0003193296351107,0.0006281517488686,0.3044056978903854,0.3676623828665602,0.3497502847172143,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Connective tissue,0.0003411436167578,0.0001884221833017,0.0005295658000595,0.3381127487895852,0.1942029121643268,0.2891905241621014,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Mucosal epithelium,0.0001817330736596,0.0002418788831291,0.0004236119567887,0.1718686452869424,0.2650359375529609,0.2241047847045219,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Muscle,0.0002941910770139,0.0001162488163657,0.0004104398933796,0.2891474625219319,0.0985692881458795,0.2160133982979648,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Kidney,0.0002317710633591,0.0001584350237623,0.0003902060871215,0.2240516475965396,0.1544683000419753,0.2035840969937178,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Lung,4.561223031412804e-05,0.0002187267155365,0.0002643389458506,0.02991261697041,0.2343580603143216,0.1262659392928254,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Urogenital ridge,9.230961918570358e-05,0.0001675001379738,0.0002598097571595,0.0786118146394654,0.1664800678309948,0.1234837316257627,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Lung primordium,0.0001225017876309,0.0001178649377733,0.0002403667254042,0.1100982513482612,0.1007107366279042,0.1115401903626284,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Ovary,9.174232298537032e-05,0.0001137399760543,0.0002054822990397,0.078020199766246,0.095244938718303,0.090111249085908,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Pancreas,3.748903708212254e-05,0.0001483745897143,0.0001858636267964,0.0214412012773976,0.1411376795089454,0.0780598146998436,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Sympathetic nerve,6.285524070570543e-05,0.0001218851188461,0.0001847403595518,0.0478947952411984,0.1060376945006041,0.077369809722517,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
Dorsal root ganglion,5.123220064617325e-05,8.667984877724163e-05,0.0001379120494234,0.0357735024012245,0.0593888030304309,0.0486039330145945,Wnt3a_Fzd7_Lrp6,0.5,Wnt3a,Fzd7_Lrp6,,Lrp6
