cell_type,incoming_raw,outgoing_raw,total_raw,incoming_norm,outgoing_norm,total_norm,lr_pair,time_key,ligand_token,receptor_token,ligand_missing_subunits,receptor_missing_subunits
Epidermis,0.0183956666248141,0.0189622339754614,0.0373579006002756,1.0,1.0,1.0,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Choroid plexus,0.0086283452052651,0.0157966160774562,0.0244249612827213,0.469042268553956,0.8330567009086713,0.6538097936515515,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Cavity,0.0081588508172848,0.004778807085947,0.0129376579032318,0.4435202585308458,0.2520170931405631,0.346316513919318,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Meninges,0.0042472730089682,0.0037550032363136,0.0080022762452819,0.2308844303168162,0.1980253614195919,0.2142057266789469,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Jaw and tooth,0.0045078761677443,0.0031130478350676,0.0076209240028119,0.2450509818254459,0.1641709431017525,0.2039976519118334,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Heart,0.0036213380352067,0.0037407873816396,0.0073621254168464,0.1968582117226383,0.1972756683880454,0.1970701056148772,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Cartilage primordium,0.003777659107095,0.0033649848430621,0.0071426439501571,0.2053559234433681,0.1774571945170942,0.1911950038783625,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Mucosal epithelium,0.0025309019900703,0.0041004222622789,0.0066313242523493,0.1375814229344854,0.216241518145236,0.177507947336323,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Muscle,0.0040520303880732,0.0020337905184336,0.0060858209065068,0.2202709187286205,0.1072547950344621,0.1629058595027679,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Mesentery,0.0021859375287632,0.0035375537209501,0.0057234912497134,0.1188289379964431,0.1865578562909835,0.1532069832015987,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Connective tissue,0.0024806278005238,0.0022581450550408,0.0047387728555646,0.1348484863917706,0.1190864461414777,0.126847943257543,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
GI tract,0.0029883166157697,0.0016744666325987,0.0046627832483684,0.1624467694874804,0.0883053460243983,0.1248138458919195,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Spinal cord,0.0019943149023042,0.0020211175659055,0.0040154324682097,0.108412211581072,0.106586469111237,0.1074854958038023,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Lung,0.0015324874323001,0.0017250765916917,0.0032575640239919,0.0833069800380579,0.0909743331890205,0.0871987978887637,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Brain,0.0025602981692382,0.0006108628340362,0.0031711610032744,0.1391794177105051,0.0322147081840021,0.0848859532339746,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Liver,0.0010711787143317,0.0010188939339449,0.0020900726482766,0.0582299481817523,0.0537328004318186,0.0559472725900775,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Mesothelium,0.0009702023308839,0.0009598294814633,0.0019300318123473,0.0527408085105881,0.0506179537023681,0.0516632835714831,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Pancreas,0.0001992519026276,0.0005012590840641,0.0007005109866918,0.0108314586631459,0.0264346007286288,0.0187513477854985,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Sympathetic nerve,5.034137409128804e-05,0.0,5.034137409128804e-05,0.0027365887367942,0.0,0.0013475429101312,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Ovary,0.0,0.0,0.0,0.0,0.0,0.0,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Cartilage,0.0,0.0,0.0,0.0,0.0,0.0,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Dorsal root ganglion,0.0,0.0,0.0,0.0,0.0,0.0,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
Kidney,0.0,0.0,0.0,0.0,0.0,0.0,Wnt3a_Fzd7_Lrp6,E13.5,Wnt3a,Fzd7_Lrp6,,
