x,y,annotation,total_raw
-0.27067667,3.4758215,Brain,0.0001012284220473
0.5756416,2.950543,Brain,0.0001012284220473
0.5756416,2.950543,Brain,0.0001012284220473
-0.7380977,1.8188936,Cavity,0.0008112271263583
-0.30391967,1.1088108,GI tract,0.0007179822187211
0.03854029,2.4009345,Mucosal epithelium,0.0004236119567887
0.03854029,2.4009345,Mucosal epithelium,0.0004236119567887
-0.45772436,2.8667798,Brain,0.0001012284220473
-0.29223981,2.4163196,Jaw and tooth,0.0010585365113058
-0.68168056,1.8441164,Epidermis,0.0011758541459524
0.6523913,2.179393,Muscle,0.0004104398933796
0.5773152,1.5408375,Lung primordium,0.0002403667254042
-0.6807834,2.8947856,Brain,0.0001012284220473
-1.0620927,2.4149945,Meninges,0.0016867009332845
0.6529469,1.8060519,Sympathetic nerve,0.0001847403595518
-0.4960085,1.2460103,GI tract,0.0007179822187211
-0.49272594,2.5861762,Brain,0.0001012284220473
-0.501564,2.0017145,Jaw and tooth,0.0010585365113058
-0.501564,2.0017145,Jaw and tooth,0.0010585365113058
-0.34713414,0.74917066,Cavity,0.0008112271263583
-0.34713414,0.74917066,Cavity,0.0008112271263583
0.12790933,2.2416246,Muscle,0.0004104398933796
-0.74342304,0.5723403,Cartilage primordium,0.0006583575051392
-0.74342304,0.5723403,Cartilage primordium,0.0006583575051392
0.7427802,1.1190237,Muscle,0.0004104398933796
0.7427802,1.1190237,Muscle,0.0004104398933796
0.6612492,2.6025844,Brain,0.0001012284220473
0.6612492,2.6025844,Brain,0.0001012284220473
-0.7554834,2.3894167,Jaw and tooth,0.0010585365113058
0.35787916,3.4120336,Brain,0.0001012284220473
0.35787916,3.4120336,Brain,0.0001012284220473
-0.77509564,1.8696699,Epidermis,0.0011758541459524
-0.4033085,0.31714642,Dorsal root ganglion,0.0001379120494234
0.5723952,3.0249207,Brain,0.0001012284220473
0.27717942,2.0449622,Muscle,0.0004104398933796
0.841421,2.978628,Cavity,0.0008112271263583
0.7305508,2.7890437,Brain,0.0001012284220473
-0.6860394,1.1208724,Epidermis,0.0011758541459524
-0.6860394,1.1208724,Epidermis,0.0011758541459524
0.41846052,3.4536905,Brain,0.0001012284220473
0.41846052,3.4536905,Brain,0.0001012284220473
-1.1213171,2.4424365,Cavity,0.0008112271263583
0.9267119,1.1805723,Connective tissue,0.0005295658000595
0.77211434,1.1604991,Muscle,0.0004104398933796
0.7583657,1.175392,Muscle,0.0004104398933796
0.8897885,0.9903707,Cavity,0.0008112271263583
1.075948,1.8047491,Cavity,0.0008112271263583
-0.49452135,1.220011,GI tract,0.0007179822187211
0.55749196,0.6272381,Connective tissue,0.0005295658000595
-0.25547925,0.268614,Epidermis,0.0011758541459524
-0.09549182,2.984662,Brain,0.0001012284220473
0.70703846,3.0239265,Meninges,0.0016867009332845
-0.35193595,0.5770257,Cartilage primordium,0.0006583575051392
-0.35193595,0.5770257,Cartilage primordium,0.0006583575051392
-0.115921214,2.2628765,Muscle,0.0004104398933796
-0.115921214,2.2628765,Muscle,0.0004104398933796
0.993442,2.0216012,Cartilage primordium,0.0006583575051392
-0.2916096,0.550715,Cartilage primordium,0.0006583575051392
0.33983648,0.44394016,Cartilage primordium,0.0006583575051392
0.10888269,2.0119681,Muscle,0.0004104398933796
-0.8398628,2.7569265,Meninges,0.0016867009332845
-0.6082573,1.4654193,Cavity,0.0008112271263583
0.34454194,2.9045424,Brain,0.0001012284220473
0.34454194,2.9045424,Brain,0.0001012284220473
-0.48336554,2.095542,Jaw and tooth,0.0010585365113058
0.8086424,2.8861327,Brain,0.0001012284220473
0.95505774,2.6319244,Meninges,0.0016867009332845
0.74698275,0.75034815,Connective tissue,0.0005295658000595
0.29412937,2.9889174,Brain,0.0001012284220473
0.28069058,2.451275,Cartilage primordium,0.0006583575051392
0.17597279,2.4438918,Cartilage primordium,0.0006583575051392
0.96839684,1.2477046,Connective tissue,0.0005295658000595
0.96839684,1.2477046,Connective tissue,0.0005295658000595
-0.7884166,2.4115002,Jaw and tooth,0.0010585365113058
-0.04357128,2.3369296,Muscle,0.0004104398933796
-0.04357128,2.3369296,Muscle,0.0004104398933796
-0.021293547,2.342513,Muscle,0.0004104398933796
-0.021293547,2.342513,Muscle,0.0004104398933796
-0.12413684,0.24757017,Dorsal root ganglion,0.0001379120494234
-0.040515352,3.0240576,Brain,0.0001012284220473
0.74790037,3.0898874,Cavity,0.0008112271263583
-0.14270203,1.946859,Jaw and tooth,0.0010585365113058
0.8376144,1.6895993,Cartilage primordium,0.0006583575051392
0.27490485,3.1547005,Brain,0.0001012284220473
-0.5849259,3.508421,Cavity,0.0008112271263583
-0.9748607,1.2024686,GI tract,0.0007179822187211
-0.9748607,1.2024686,GI tract,0.0007179822187211
-0.33617556,2.7824996,Brain,0.0001012284220473
-0.33617556,2.7824996,Brain,0.0001012284220473
-0.92769,3.0760267,Meninges,0.0016867009332845
