time,celltype,growth_mean,inter_mean,n
0.0,CMPN,0.015578655,0.4876948,669
0.0,MCG,0.015230602,0.45313412,121
0.0,MSN,-0.055880085,0.8159779,797
0.0,Oligo,0.009168869,0.4574089,92
0.0,VLMC,-0.01141027,0.7629348,1300
0.0,WSN,0.02743843,0.40712953,58
0.0,dpEX,-0.025046133,0.37433535,633
0.0,mpEX,-0.055142887,0.37783062,320
0.0,mpIN,-0.0364807,0.4114454,155
0.0,nptxEX,-0.0075372616,0.46631733,406
0.0,obNBL,-0.031149276,0.7865691,754
0.0,reaEGC,0.034367576,0.29556346,254
0.0,ribEGC,0.054471184,0.31819075,56
0.0,scgnIN,-0.050849758,0.8164193,726
0.0,sfrpEGC,0.008843006,0.2883252,283
0.0,sstIN,-0.034079883,0.46329194,295
0.0,tlNBL,-0.016261984,0.54323304,398
0.0,wntEGC,-0.0008880692,0.32758924,351
0.5,CMPN,0.11992055,0.4884184,751
0.5,MCG,0.08917483,0.40808555,94
0.5,MSN,0.019450646,0.7408244,903
0.5,VLMC,0.073640056,0.63815504,1014
0.5,WSN,0.12515959,0.37112918,64
0.5,cckIN,0.08763318,0.4620638,7
0.5,dpEX,0.050939128,0.41407874,580
0.5,mpEX,0.04194246,0.4259486,585
0.5,mpIN,0.05074782,0.5033537,55
0.5,nptxEX,0.059843868,0.50118995,443
0.5,obNBL,0.031135913,0.7121134,799
0.5,reaEGC,0.13206846,0.3171916,253
0.5,ribEGC,0.09272065,0.41978133,103
0.5,scgnIN,0.013404599,0.76573354,849
0.5,sfrpEGC,0.082786895,0.3412518,277
0.5,sstIN,0.06277009,0.50046927,224
0.5,tlNBL,0.04837941,0.57309014,284
0.5,wntEGC,0.07031571,0.3860434,444
1.0,CMPN,0.16835605,0.4557989,409
1.0,MCG,0.10769811,0.44048434,221
1.0,MSN,0.05279403,0.6682339,604
1.0,VLMC,0.09306612,0.6082483,929
1.0,WSN,0.1414923,0.6056728,243
1.0,cckIN,0.12274629,0.45452935,838
1.0,dpEX,0.0697369,0.38860434,381
1.0,mpEX,0.07705715,0.4535863,815
1.0,mpIN,0.07431457,0.46154457,114
1.0,nptxEX,0.06826565,0.46621558,343
1.0,npyIN,0.16628157,0.4685354,31
1.0,obNBL,0.057040576,0.6192833,573
1.0,reaEGC,0.19590516,0.28616133,259
1.0,ribEGC,0.121062,0.3420933,314
1.0,scgnIN,0.035286326,0.7126572,710
1.0,sfrpEGC,0.10778905,0.30524647,231
1.0,sstIN,0.11709284,0.532184,297
1.0,tlNBL,0.066670105,0.5238192,289
1.0,wntEGC,0.10471582,0.33636352,505
1.5,CMPN,0.23476008,0.44550008,770
1.5,CP,0.068539254,0.24592844,1
1.5,IMN,0.21523285,0.552675,13
1.5,MCG,0.19130185,0.34986305,249
1.5,MSN,0.10723582,0.60731685,1768
1.5,VLMC,0.15590066,0.41889635,913
1.5,WSN,0.22134745,0.72146064,17
1.5,cckIN,0.18000734,0.55293024,246
1.5,dpEX,0.1505925,0.40937388,593
1.5,mpEX,0.16436101,0.41083616,850
1.5,mpIN,0.17885359,0.46790275,14
1.5,nptxEX,0.13182418,0.42413944,539
1.5,npyIN,0.1392788,0.6022623,2
1.5,obNBL,0.12037329,0.55372626,772
1.5,reaEGC,0.25167423,0.3050992,302
1.5,ribEGC,0.15795197,0.39110532,96
1.5,scgnIN,0.1102924,0.63499796,429
1.5,sfrpEGC,0.18026453,0.3666395,282
1.5,sstIN,0.16024736,0.46342844,114
1.5,tlNBL,0.14482827,0.42668635,313
1.5,wntEGC,0.16238216,0.36499828,425
2.0,CMPN,0.18684898,0.40007755,629
2.0,CP,0.12242822,0.32455683,136
2.0,IMN,0.17019624,0.30686197,123
2.0,MCG,0.16252795,0.34334606,216
2.0,MSN,0.07191219,0.60579467,1741
2.0,VLMC,0.11413717,0.42766318,1471
2.0,cckIN,0.027650392,0.49127975,438
2.0,dpEX,0.10230905,0.33719468,278
2.0,mpEX,0.12562004,0.35182902,761
2.0,nptxEX,0.06449818,0.42117485,450
2.0,npyIN,0.16361362,0.43001482,216
2.0,obNBL,0.07001654,0.6440509,542
2.0,reaEGC,0.28658798,0.29218495,470
2.0,scgnIN,0.11825989,0.63737345,494
2.0,sfrpEGC,0.16226076,0.34496108,302
2.0,sstIN,0.123446174,0.39088872,239
2.0,tlNBL,0.1444678,0.38582522,673
2.0,wntEGC,0.10255407,0.37476724,257
