time,growth,interaction,celltype
0.0,0.0347635,1.578188,VLMC
0.0,-0.022972556,0.9345499,VLMC
0.0,-0.051680967,0.24592845,VLMC
0.0,0.071673736,0.24592845,VLMC
0.0,0.046088196,0.24592845,VLMC
0.0,0.049480654,0.757128,VLMC
0.0,0.04216467,0.24592845,VLMC
0.0,0.16829841,0.9811348,VLMC
0.0,0.11089688,0.24592845,VLMC
0.0,-0.009875786,0.24592845,VLMC
0.0,-0.05639621,0.24592845,VLMC
0.0,0.11106051,0.5665409,VLMC
0.0,-0.0013953131,0.24592845,VLMC
0.0,-0.008493325,0.24592845,VLMC
0.0,0.081518374,0.24592845,VLMC
0.0,0.072514854,1.210032,VLMC
0.0,0.016467912,1.0636469,VLMC
0.0,-0.043045856,1.6557242,VLMC
0.0,0.13550864,0.24592845,VLMC
0.0,0.13856436,0.24592845,VLMC
0.0,0.0034700017,3.076077,VLMC
0.0,-0.015276495,0.24592845,VLMC
0.0,0.021257443,0.24592845,VLMC
0.0,0.0037476066,0.24592845,VLMC
0.0,-0.0008640494,2.4457893,VLMC
0.0,0.07927954,0.5824801,VLMC
0.0,0.00038626604,1.0334737,VLMC
0.0,0.1542129,0.24592845,VLMC
0.0,9.045005e-05,0.74851817,VLMC
0.0,-0.041281186,0.24592845,VLMC
0.0,0.0594958,0.24592845,VLMC
0.0,0.014290368,1.5290701,VLMC
0.0,-0.005746931,0.24592845,VLMC
0.0,0.117195554,0.5629148,VLMC
0.0,-0.043149397,3.0925925,VLMC
0.0,0.020542214,1.2442957,VLMC
0.0,0.018847013,0.24592845,VLMC
0.0,0.081223175,0.24592845,VLMC
0.0,0.091861464,0.24592845,VLMC
0.0,0.08623759,0.5048949,VLMC
0.0,0.091657706,0.24592845,VLMC
0.0,0.050855793,0.24592845,obNBL
0.0,0.021853497,0.7229724,VLMC
0.0,0.052006826,0.24592845,VLMC
0.0,0.051441357,0.24592845,reaEGC
0.0,0.056946605,0.57568854,VLMC
0.0,-0.11836083,0.24592845,VLMC
0.0,0.015448077,0.24592845,reaEGC
0.0,0.041151784,0.24592845,VLMC
0.0,0.10580561,0.24592845,VLMC
0.0,0.0721931,1.4834516,VLMC
0.0,0.02558696,0.5528308,reaEGC
0.0,-0.012992211,0.5746592,VLMC
0.0,0.04791215,0.24592845,VLMC
0.0,0.067899264,0.24592845,VLMC
0.0,0.028829342,0.24592845,VLMC
0.0,0.13046853,1.0544136,VLMC
0.0,0.09092518,0.24592845,VLMC
0.0,-0.033776604,1.5662575,VLMC
0.0,-0.059804738,0.24592845,VLMC
0.0,0.035040796,1.3661722,VLMC
0.0,-0.010398572,0.24592845,VLMC
0.0,-0.030599859,0.24592845,VLMC
0.0,0.01715274,0.24592845,VLMC
0.0,0.034641184,1.2094634,VLMC
0.0,0.030974833,0.24592845,VLMC
0.0,0.07880684,1.4588422,VLMC
0.0,0.038702287,0.24592845,VLMC
0.0,0.019096332,0.24592845,VLMC
0.0,-0.0003588032,0.7792528,MCG
0.0,-0.004060073,0.69606763,VLMC
0.0,0.035690203,0.24592845,VLMC
0.0,0.026675856,0.24592845,VLMC
0.0,-0.091778725,0.60385406,VLMC
0.0,0.016882619,0.24592845,VLMC
0.0,-0.06843255,0.24592845,scgnIN
0.0,0.01969205,0.6066771,VLMC
0.0,0.0780093,0.24592845,VLMC
0.0,0.017847804,0.24592845,VLMC
0.0,0.057344906,0.7253154,VLMC
0.0,-0.035721887,0.24592845,VLMC
0.0,0.031886615,0.24592845,VLMC
0.0,0.18112786,1.0449362,VLMC
0.0,0.07289145,0.24592845,MCG
0.0,0.015145341,0.9414869,VLMC
0.0,0.021900399,0.6674136,MCG
0.0,-0.086782604,1.1412203,VLMC
0.0,0.074598715,2.9218726,VLMC
0.0,-0.057171218,2.195114,VLMC
0.0,0.02325072,0.24592845,VLMC
0.0,0.02937772,1.2518308,VLMC
0.0,-0.09139457,0.54019547,VLMC
0.0,0.04050175,0.24592845,VLMC
0.0,0.064772196,0.8639674,VLMC
0.0,-0.04285475,0.64977837,MCG
0.0,0.062233873,0.24592845,VLMC
0.0,-0.009564275,0.24592845,VLMC
0.0,0.03446641,2.6598926,VLMC
0.0,0.005453175,1.4215776,VLMC
0.0,0.063708924,0.24592845,VLMC
0.0,-0.002916241,0.24592845,VLMC
0.0,0.0030034613,0.24592845,VLMC
0.0,0.009413322,2.0039194,VLMC
0.0,-0.008813215,0.24592845,VLMC
0.0,-0.019547759,1.0431664,VLMC
0.0,-0.0450095,0.6392203,VLMC
0.0,0.020673444,1.4667178,VLMC
0.0,0.06279269,0.7929933,VLMC
0.0,-0.043007307,0.7863574,VLMC
0.0,0.0582465,2.0279102,VLMC
0.0,-0.025511408,0.24592845,VLMC
0.0,0.022788478,0.24592845,VLMC
0.0,0.006942639,0.24592845,VLMC
0.0,0.07527337,2.358578,VLMC
0.0,-0.089910075,1.9594055,VLMC
0.0,0.053444974,0.8726721,VLMC
0.0,0.087434605,0.24592845,VLMC
0.0,-0.06132312,0.9909561,obNBL
0.0,-0.0281685,1.0397316,VLMC
0.0,0.0022032317,0.24592845,VLMC
0.0,0.011721788,1.1215893,obNBL
0.0,0.043614596,2.4791799,VLMC
0.0,-0.032291215,0.69039214,VLMC
0.0,0.02384915,1.0658143,obNBL
0.0,-0.028065296,0.9888598,VLMC
0.0,0.045059547,0.89467895,VLMC
0.0,0.0017359275,2.427598,obNBL
0.0,0.038022093,0.24592845,VLMC
0.0,0.0014445316,0.81368,obNBL
0.0,-0.03402894,0.79587966,obNBL
0.0,-0.05487372,0.8751447,VLMC
0.0,-0.042770453,1.4874593,VLMC
0.0,-0.052166417,0.9342398,VLMC
0.0,-0.02186309,0.24592845,VLMC
0.0,0.081310846,0.24592845,VLMC
0.0,-0.0004299488,0.8644133,obNBL
0.0,-0.0172832,0.24592845,VLMC
0.0,0.038896658,0.6857677,obNBL
0.0,-0.032252878,1.0278563,obNBL
0.0,-0.019544443,1.3110197,obNBL
0.0,-0.005920278,0.24592845,VLMC
0.0,-0.038104504,0.24592845,MSN
0.0,-0.00024357997,0.7681833,VLMC
0.0,0.026211074,0.24592845,VLMC
0.0,-0.04287667,1.3411853,obNBL
0.0,0.03566797,0.24592845,VLMC
0.0,-0.008660158,0.24592845,VLMC
0.0,-0.02426442,0.8448599,obNBL
0.0,0.041342996,1.1255611,obNBL
0.0,-0.024076805,0.94205886,obNBL
0.0,-0.013687266,1.0320685,VLMC
0.0,0.06092816,0.64087355,VLMC
0.0,0.103741564,0.7365181,VLMC
0.0,0.0015533697,0.83450353,VLMC
0.0,0.07447044,0.7012708,VLMC
0.0,-0.020063927,0.24592845,VLMC
0.0,0.050296538,2.6127138,obNBL
0.0,-0.10234252,0.24592845,VLMC
0.0,-0.013541004,0.24592845,VLMC
0.0,-0.02451449,1.2167828,obNBL
0.0,0.008399649,0.73977214,obNBL
0.0,-0.030420778,0.7060019,obNBL
0.0,-0.035955776,1.1871209,obNBL
0.0,-0.074244894,0.91899854,obNBL
0.0,0.039751098,0.7110425,obNBL
0.0,0.026871284,0.7998469,obNBL
0.0,0.01031444,0.8071281,obNBL
0.0,-0.016009342,0.6256135,MCG
0.0,-0.047383294,0.95812017,VLMC
0.0,-0.06208422,2.1962523,obNBL
0.0,-0.06811582,1.5648655,VLMC
0.0,0.06392322,0.24592845,VLMC
0.0,-0.011260493,0.24592845,VLMC
0.0,-0.003966702,1.1722468,obNBL
0.0,0.020691002,1.3962361,obNBL
0.0,0.0132713225,0.69170207,VLMC
0.0,0.039649934,0.24592845,VLMC
0.0,0.11258938,0.24592845,VLMC
0.0,0.0041404422,0.24592845,VLMC
0.0,0.05137492,1.4583434,obNBL
0.0,-0.042885132,0.9423619,scgnIN
0.0,-0.019336373,0.24592845,obNBL
0.0,0.057406507,1.0701389,obNBL
0.0,-0.013144461,0.9691341,obNBL
0.0,-0.05014416,1.4684432,obNBL
0.0,-0.02268395,0.73715514,obNBL
0.0,0.011725752,0.96496505,obNBL
0.0,-0.06593327,1.5066231,VLMC
0.0,-0.03711848,0.87285703,obNBL
0.0,-0.017354464,1.5035502,obNBL
0.0,-0.046814993,0.6936117,obNBL
0.0,-0.016040167,0.6356864,obNBL
0.0,0.023236519,0.24592845,VLMC
0.0,0.0398485,1.0874339,VLMC
0.0,0.08126602,0.24592845,VLMC
0.0,-0.0008073803,1.1805154,obNBL
0.0,0.001353249,0.94384044,obNBL
0.0,-0.047289766,0.84756213,VLMC
0.0,0.001006363,0.74067366,obNBL
0.0,0.15107286,0.7776283,obNBL
0.0,-0.09124719,1.0383202,VLMC
0.0,-0.014429189,0.24592845,VLMC
0.0,-0.03316046,0.51584405,VLMC
0.0,0.002446482,1.8945566,obNBL
0.0,0.04180666,0.24592845,VLMC
0.0,-0.02805086,1.6821061,obNBL
0.0,0.039129883,0.7374834,obNBL
0.0,0.0039018542,3.212347,VLMC
0.0,-0.013786228,1.6288135,obNBL
0.0,-0.017276257,1.3266782,obNBL
0.0,-0.08438412,1.0648131,obNBL
0.0,0.013588643,0.80883276,obNBL
0.0,-0.07412752,0.99478817,VLMC
0.0,0.000884274,1.1602976,VLMC
0.0,0.089057304,0.24592845,VLMC
0.0,-0.021930497,1.8971153,obNBL
0.0,0.003024241,0.7995196,obNBL
0.0,0.024516689,1.1031389,obNBL
0.0,-0.013233179,0.44704974,obNBL
0.0,-0.08117961,0.24592845,obNBL
0.0,-0.037055932,0.85062176,obNBL
0.0,0.03181155,1.150689,obNBL
0.0,-0.023945322,1.7216895,obNBL
0.0,0.004911786,3.2176015,VLMC
0.0,0.043569863,0.24592845,VLMC
0.0,0.15191387,0.24592845,VLMC
0.0,0.018125327,1.045205,obNBL
0.0,0.109682225,1.038994,obNBL
0.0,0.02503586,0.9014235,obNBL
0.0,-0.0037546959,0.62158364,obNBL
0.0,-0.030218186,0.92770815,obNBL
0.0,-0.016541915,0.24592845,VLMC
0.0,0.0076207947,0.7234177,obNBL
0.0,0.056816667,0.24592845,VLMC
0.0,-0.059921786,0.8741701,obNBL
0.0,0.046645984,0.8562826,obNBL
0.0,-0.05402944,0.24592845,VLMC
0.0,0.02194565,0.81687814,obNBL
0.0,-0.011717638,1.2326272,VLMC
0.0,-0.04584633,0.8089651,VLMC
0.0,0.055500843,0.75197756,obNBL
0.0,-0.046178445,0.7937777,obNBL
0.0,0.05570589,0.7010359,obNBL
0.0,-0.0787151,0.7393755,obNBL
0.0,0.004968986,0.24592845,obNBL
0.0,0.09560554,0.9719387,obNBL
0.0,-0.027209131,1.2269914,obNBL
0.0,-0.008751335,1.0876584,obNBL
0.0,-0.03414184,1.0694705,obNBL
0.0,0.029381791,0.94020426,obNBL
0.0,0.110466115,0.24592845,VLMC
0.0,0.0032493696,0.24592845,VLMC
0.0,0.053659074,0.24592845,VLMC
0.0,-0.014681624,0.69313323,obNBL
0.0,-0.010709643,0.6825653,obNBL
0.0,0.013996651,0.24592845,VLMC
0.0,-0.007720107,1.0356175,obNBL
0.0,0.034800068,1.4068192,obNBL
0.0,-0.0335038,1.3777269,obNBL
0.0,-0.010729013,1.8148009,obNBL
0.0,0.10575124,0.24592845,VLMC
0.0,-0.07061291,0.90707606,obNBL
0.0,0.029878965,0.24592845,VLMC
0.0,0.010205539,0.77104497,obNBL
0.0,-0.04074104,1.4232367,obNBL
0.0,0.02486444,1.1003689,obNBL
0.0,0.0694987,0.24592845,VLMC
0.0,0.033281162,0.8510706,obNBL
0.0,0.014107941,1.0159464,obNBL
0.0,-0.08498465,0.80401534,obNBL
0.0,0.06892811,0.24592845,VLMC
0.0,-0.001884276,0.24592845,VLMC
0.0,0.15531419,0.24592845,VLMC
0.0,0.011506999,1.1413192,obNBL
0.0,-0.012218965,0.9903914,obNBL
0.0,-0.041977063,1.0152857,scgnIN
0.0,-0.06763338,0.6223965,obNBL
0.0,-0.083380915,0.24592845,VLMC
0.0,0.038303666,0.9159993,VLMC
0.0,0.03552311,1.3919141,obNBL
0.0,-0.03070928,0.6363871,obNBL
0.0,-0.015233593,0.8468204,obNBL
0.0,-0.0036215018,0.24592845,obNBL
0.0,-0.021853777,1.0476539,obNBL
0.0,-0.007740559,0.5128786,obNBL
0.0,-0.06422262,0.24592845,obNBL
0.0,-0.06760123,1.1226677,obNBL
0.0,0.11733254,0.24592845,VLMC
0.0,-0.024165308,0.8419199,obNBL
0.0,-0.08537257,1.0763152,VLMC
0.0,0.066749156,0.74904305,MCG
0.0,-0.014314866,0.8412701,obNBL
0.0,0.011158863,1.160464,VLMC
0.0,0.03233368,1.4511952,obNBL
0.0,0.001600178,1.3916546,obNBL
0.0,-0.042620994,0.7648087,obNBL
0.0,-0.0005795788,1.0774486,obNBL
0.0,-0.06313427,0.5211975,obNBL
0.0,-0.047243208,0.24592845,nptxEX
0.0,-0.0093453955,0.24592845,obNBL
0.0,-0.0354395,2.190721,VLMC
0.0,0.0033566132,1.2010394,obNBL
0.0,0.03567888,0.6508743,obNBL
0.0,0.007300211,1.2188089,obNBL
0.0,-0.017757412,0.9387519,obNBL
0.0,-0.00019249879,0.24592845,VLMC
0.0,-0.058552958,1.4360839,obNBL
0.0,-0.022095626,0.62341106,obNBL
0.0,-0.06451615,0.60772675,obNBL
0.0,-0.081863225,0.7826574,obNBL
0.0,0.013012601,0.24592845,obNBL
0.0,0.05342091,1.9122388,VLMC
0.0,-0.077862136,1.0909586,MSN
0.0,-0.009636076,1.040418,obNBL
0.0,0.012855614,1.4155982,obNBL
0.0,-0.006736612,0.8374879,obNBL
0.0,-0.026333136,0.85240364,obNBL
0.0,-0.020365201,1.048295,obNBL
0.0,-0.07523772,1.0968273,obNBL
0.0,0.00028652325,0.24592845,nptxEX
0.0,-0.025730224,1.1350803,obNBL
0.0,0.04636822,0.24592845,VLMC
0.0,-0.04673818,0.5661147,obNBL
0.0,-0.105952084,1.7385881,obNBL
0.0,0.012101574,0.24592845,VLMC
0.0,-0.051872127,0.24592845,obNBL
0.0,-0.040080078,0.8833092,scgnIN
0.0,-0.02418035,0.6362808,obNBL
0.0,0.04710947,0.24592845,VLMC
0.0,-0.061922602,0.7116285,obNBL
0.0,0.02622029,0.6092387,obNBL
0.0,-0.0685798,0.70641667,obNBL
0.0,-0.06773026,0.5555376,obNBL
0.0,-0.047000825,0.69905776,obNBL
0.0,0.031248739,0.8692382,obNBL
0.0,-0.04836209,0.6348082,obNBL
0.0,-0.04765811,0.3955561,obNBL
0.0,-0.04186681,1.0001961,obNBL
