time,celltype,growth_mean,inter_mean,n
0.0,CMPN,0.015354746,0.50147027,31
0.0,MCG,0.016523995,0.31230938,4
0.0,MSN,-0.04109214,0.6810396,23
0.0,Oligo,0.019735286,0.46026927,5
0.0,VLMC,-0.008036617,0.4997821,47
0.0,WSN,-0.0027115545,0.24592844,4
0.0,dpEX,-0.03149838,0.29908013,17
0.0,mpEX,-0.048920568,0.2797686,11
0.0,mpIN,-0.042436965,0.35843927,5
0.0,nptxEX,0.0037056615,0.41313466,21
0.0,obNBL,-0.032860737,0.7153696,34
0.0,reaEGC,-0.008088655,0.24592844,5
0.0,ribEGC,0.04132868,0.24592845,3
0.0,scgnIN,-0.06078494,0.69535416,37
0.0,sfrpEGC,0.016412113,0.259905,8
0.0,sstIN,-0.040185474,0.27088732,10
0.0,tlNBL,-0.017165229,0.4447174,17
0.0,wntEGC,-0.011098605,0.24592845,18
0.5,CMPN,0.10443626,0.41353697,27
0.5,MCG,0.09617291,0.29848382,6
0.5,MSN,0.0251818,0.7588271,53
0.5,VLMC,0.08480296,0.5551843,28
0.5,dpEX,0.06384606,0.45906618,27
0.5,mpEX,0.025072718,0.2895258,20
0.5,nptxEX,0.06631044,0.45426223,25
0.5,obNBL,0.027829036,0.6964808,34
0.5,reaEGC,0.1584009,0.26473647,8
0.5,ribEGC,0.07440672,0.24592844,2
0.5,scgnIN,-0.007956315,0.58510494,19
0.5,sfrpEGC,0.12447555,0.31939787,10
0.5,sstIN,0.07458361,0.58597374,9
0.5,tlNBL,0.09673165,0.24592844,2
0.5,wntEGC,0.06427228,0.35216987,30
1.0,CMPN,0.14048581,0.4263067,17
1.0,MCG,0.12935014,0.30022377,14
1.0,MSN,0.04025487,0.54460835,22
1.0,VLMC,0.088891245,0.36923766,38
1.0,WSN,0.13311766,0.8895349,13
1.0,cckIN,0.13393359,0.38991496,24
1.0,dpEX,0.06813185,0.39230868,12
1.0,mpEX,0.0716826,0.36568063,35
1.0,mpIN,0.10179276,0.5843217,6
1.0,nptxEX,0.046570484,0.42239746,9
1.0,obNBL,0.048262235,0.606699,17
1.0,reaEGC,0.17952055,0.24592844,11
1.0,ribEGC,0.13870434,0.24592845,6
1.0,scgnIN,0.022962738,0.51694345,27
1.0,sfrpEGC,0.106782,0.2582095,15
1.0,sstIN,0.119976446,0.3026698,7
1.0,tlNBL,0.10913774,0.33944497,4
1.0,wntEGC,0.10548574,0.3086829,23
1.5,CMPN,0.22486462,0.5756164,17
1.5,MCG,0.1781414,0.28102222,4
1.5,MSN,0.11940903,0.5385264,78
1.5,VLMC,0.16184254,0.35152096,27
1.5,cckIN,0.13356349,0.60583013,3
1.5,dpEX,0.1448289,0.4781336,37
1.5,mpEX,0.16380699,0.39920515,31
1.5,nptxEX,0.13149802,0.51163775,27
1.5,obNBL,0.11859052,0.5032512,26
1.5,reaEGC,0.24216875,0.25983435,5
1.5,ribEGC,0.1774615,0.24592845,3
1.5,scgnIN,0.15409528,1.051968,8
1.5,sfrpEGC,0.251028,0.24592844,5
1.5,tlNBL,0.18262695,0.3908946,10
1.5,wntEGC,0.15112348,0.4074544,19
2.0,CMPN,0.20675413,0.33667654,18
2.0,CP,0.1283196,0.29801342,4
2.0,IMN,0.13087961,0.31296867,2
2.0,MCG,0.1354972,0.28296763,5
2.0,MSN,0.055485144,0.5464722,55
2.0,VLMC,0.10897639,0.2809274,44
2.0,cckIN,0.025412748,0.37855676,14
2.0,dpEX,0.08910893,0.30994922,7
2.0,mpEX,0.12225335,0.27753717,27
2.0,nptxEX,0.058636993,0.28650525,12
2.0,npyIN,0.1680246,0.25640148,9
2.0,obNBL,0.06528591,0.5366811,16
2.0,reaEGC,0.29230562,0.24592844,15
2.0,scgnIN,0.10352451,0.42976743,15
2.0,sfrpEGC,0.18685856,0.27614743,9
2.0,sstIN,0.14032,0.32940602,8
2.0,tlNBL,0.14780626,0.3302666,32
2.0,wntEGC,0.0991192,0.47868976,8
2.5,CMPN,0.04882534,0.34770378,30
2.5,CP,-0.13454574,0.24592844,1
2.5,IMN,0.030273004,0.3978135,9
2.5,MCG,0.06514618,0.24592845,3
2.5,MSN,-0.016373107,0.40591472,71
2.5,VLMC,-0.0035530266,0.33037156,28
2.5,dpEX,0.038894475,0.4243248,26
2.5,mpEX,0.06694669,0.31546503,28
2.5,nptxEX,-0.017554546,0.33824807,39
2.5,npyIN,0.10442669,0.27241138,7
2.5,rIPC2,-0.03768424,0.24592844,1
2.5,reaEGC,-0.055006236,0.25935206,10
2.5,ribEGC,0.07524091,0.34588262,2
2.5,scgnIN,0.09725178,0.24592844,2
2.5,sfrpEGC,0.042683177,0.3600655,20
2.5,sstIN,0.06816056,0.33020648,6
2.5,wntEGC,0.029465303,0.3652217,17
3.0,CMPN,0.08887669,0.3808639,42
3.0,CP,-0.10821495,0.35736617,10
3.0,IMN,0.074837655,0.25605497,12
3.0,MCG,0.07031684,0.2567328,8
3.0,MSN,-0.050466634,0.34914696,30
3.0,Unknown,0.055264067,0.28491738,2
3.0,VLMC,-0.082062684,0.2989374,44
3.0,cckIN,-0.057634432,0.66303706,10
3.0,dpEX,0.0015607215,0.33414677,4
3.0,mpEX,0.029912286,0.3858433,11
3.0,nptxEX,-0.04051724,0.41871795,16
3.0,npyIN,0.055044692,0.24592845,9
3.0,ntng1IN,0.123002164,0.3072472,11
3.0,rIPC1,0.15760949,0.24592844,5
3.0,rIPC2,0.09933688,0.2542439,8
3.0,reaEGC,0.20048437,0.24592844,8
3.0,ribEGC,0.020898266,0.2938489,12
3.0,scgnIN,0.105925255,0.5319939,8
3.0,sfrpEGC,0.1171094,0.2630357,9
3.0,sstIN,0.032698624,0.269968,20
3.0,wntEGC,0.059066944,0.25653642,21
3.5,CMPN,0.15351479,0.30065712,34
3.5,IMN,0.22245468,0.32437778,14
3.5,MCG,0.15693562,0.24592845,3
3.5,MSN,0.13958879,0.38720828,47
3.5,VLMC,0.13506673,0.37558642,32
3.5,dpEX,0.10646521,0.25989023,19
3.5,mpEX,0.08593166,0.24592844,13
3.5,mpIN,0.17060874,0.24592844,1
3.5,nptxEX,0.09352688,0.30973735,48
3.5,npyIN,0.09736496,0.34067133,8
3.5,ntng1IN,0.24087606,0.2799621,7
3.5,obNBL,0.19946475,0.24592844,1
3.5,rIPC2,0.2682895,0.24592844,7
3.5,ribEGC,0.32367817,0.24592844,1
3.5,sfrpEGC,0.20720144,0.25020832,18
3.5,tlNBL,0.30037096,0.40294167,6
3.5,wntEGC,0.15505107,0.32298878,41
4.0,CMPN,0.3220346,0.29198018,19
4.0,IMN,0.33127058,0.30145258,8
4.0,MCG,0.19332367,0.24592844,2
4.0,MSN,0.27414662,0.5408898,51
4.0,Unknown,0.26483485,0.68844736,1
4.0,VLMC,0.21725816,0.29216874,38
4.0,cckIN,0.14320695,0.47139686,26
4.0,dpEX,0.2594209,0.28202942,17
4.0,mpEX,0.25008658,0.30441204,22
4.0,mpIN,0.2537686,0.3136949,4
4.0,nptxEX,0.22724533,0.31891072,21
4.0,npyIN,0.22972484,0.24592845,3
4.0,ntng1IN,0.31717184,0.24592845,6
4.0,obNBL,0.21970747,0.30968896,3
4.0,rIPC4,0.42708904,0.2917715,20
4.0,scgnIN,0.30581805,0.4743837,9
4.0,sfrpEGC,0.3606632,0.3077149,10
4.0,sstIN,0.27009067,0.3447399,3
4.0,tlNBL,0.3106691,0.2843322,17
4.0,wntEGC,0.36963218,0.25153843,20
