time,n_baseline
0.0,51234
0.05,52500
0.1,53733
0.15,55018
0.2,56255
0.25,57560
0.3,58782
0.35,60004
0.4,61345
0.45,62617
0.5,63941
0.55,65214
0.6,66530
0.65,67770
0.7,68963
0.75,70260
0.8,71578
0.85,72872
0.9,74145
0.95,75408
1.0,77985
1.05,79258
1.1,80517
1.15,81874
1.2,83167
1.25,84400
1.3,85677
1.35,86921
1.4,88159
1.45,89478
1.5,90711
1.55,91977
1.6,93152
1.65,94359
1.7,95551
1.75,96749
1.8,97861
1.85,98982
1.9,99999
1.95,101005
2.0,102875
2.05,103783
2.1,104634
2.15,105400
2.2,106117
2.25,106784
2.3,107414
2.35,107948
2.4,108474
2.45,108973
2.5,109404
2.55,109802
2.6,110175
2.65,110446
2.7,110665
2.75,110839
2.8,111039
2.85,111175
2.9,111262
2.95,111350
3.0,111464
