time,source,n_cells_used
0.0,simulated,30000
0.05,simulated,30000
0.1,simulated,30000
0.15,simulated,30000
0.2,simulated,30000
0.25,simulated,30000
0.3,simulated,30000
0.35,simulated,30000
0.4,simulated,30000
0.45,simulated,30000
0.5,simulated,30000
0.55,simulated,30000
0.6,simulated,30000
0.65,simulated,30000
0.7,simulated,30000
0.75,simulated,30000
0.8,simulated,30000
0.85,simulated,30000
0.9,simulated,30000
0.95,simulated,30000
1.0,simulated,30000
1.05,simulated,30000
1.1,simulated,30000
1.15,simulated,30000
1.2,simulated,30000
1.25,simulated,30000
1.3,simulated,30000
1.35,simulated,30000
1.4,simulated,30000
1.45,simulated,30000
1.5,simulated,30000
1.55,simulated,30000
1.6,simulated,30000
1.65,simulated,30000
1.7,simulated,30000
1.75,simulated,30000
1.8,simulated,30000
1.85,simulated,30000
1.9,simulated,30000
1.95,simulated,30000
2.0,simulated,30000
2.05,simulated,30000
2.1,simulated,30000
2.15,simulated,30000
2.2,simulated,30000
2.25,simulated,30000
2.3,simulated,30000
2.35,simulated,30000
2.4,simulated,30000
2.45,simulated,30000
2.5,simulated,30000
2.55,simulated,30000
2.6,simulated,30000
2.65,simulated,30000
2.7,simulated,30000
2.75,simulated,30000
2.8,simulated,30000
2.85,simulated,30000
2.9,simulated,30000
2.95,simulated,30000
3.0,simulated,30000
